year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-01-17,Montana St.,2026 Montana St.,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-01-19,Montana St.,2026 Montana St.,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-01-22,Montana St.,2026 Montana St.,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-01-24,Montana St.,2026 Montana St.,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-01-29,Montana St.,2026 Montana St.,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-01-31,Montana St.,2026 Montana St.,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-02-05,Montana St.,2026 Montana St.,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-07,Montana St.,2026 Montana St.,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-02-14,Montana St.,2026 Montana St.,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-02-19,Montana St.,2026 Montana St.,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-02-21,Montana St.,2026 Montana St.,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-02-26,Montana St.,2026 Montana St.,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-02-28,Montana St.,2026 Montana St.,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-03-02,Montana St.,2026 Montana St.,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-01-01,Northern Arizona,2026 Northern Arizona,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-01-03,Northern Arizona,2026 Northern Arizona,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-01-08,Northern Arizona,2026 Northern Arizona,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-01-10,Northern Arizona,2026 Northern Arizona,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-01-15,Northern Arizona,2026 Northern Arizona,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-01-17,Northern Arizona,2026 Northern Arizona,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-01-19,Northern Arizona,2026 Northern Arizona,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-01-24,Northern Arizona,2026 Northern Arizona,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-29,Northern Arizona,2026 Northern Arizona,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-01-31,Northern Arizona,2026 Northern Arizona,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-05,Northern Arizona,2026 Northern Arizona,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-02-07,Northern Arizona,2026 Northern Arizona,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-02-12,Northern Arizona,2026 Northern Arizona,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-02-14,Northern Arizona,2026 Northern Arizona,Sacramento St.,2026 Sacramento St.,home,,,0,,,0,,
2026,2026-02-21,Northern Arizona,2026 Northern Arizona,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-02-26,Northern Arizona,2026 Northern Arizona,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-02-28,Northern Arizona,2026 Northern Arizona,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-03-02,Northern Arizona,2026 Northern Arizona,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-01-01,Northern Colorado,2026 Northern Colorado,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-01-03,Northern Colorado,2026 Northern Colorado,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-01-08,Northern Colorado,2026 Northern Colorado,Weber St.,2026 Weber St.,Home,,,0,,,0,,
