game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20085618a,a,5618,2008,Final Four,Championship,1,2008 Kansas,1,2008 Memphis,75,68,7,143,1
20091101a,a,1101,2009,Midwest,First Round,1,2009 Louisville,16,2009 Morehead St.,74,54,20,128,1
20091102a,a,1102,2009,Midwest,First Round,8,2009 Ohio St.,9,2009 Siena,72,74,-2,146,0
20091103a,a,1103,2009,Midwest,First Round,5,2009 Utah,12,2009 Arizona,71,84,-13,155,0
20091104a,a,1104,2009,Midwest,First Round,4,2009 Wake Forest,13,2009 Cleveland St.,69,84,-15,153,0
20091105a,a,1105,2009,Midwest,First Round,6,2009 West Virginia,11,2009 Dayton,60,68,-8,128,0
20091106a,a,1106,2009,Midwest,First Round,3,2009 Kansas,14,2009 North Dakota St.,84,74,10,158,1
20091107a,a,1107,2009,Midwest,First Round,7,2009 Boston College,10,2009 USC,55,72,-17,127,0
20091108a,a,1108,2009,Midwest,First Round,2,2009 Michigan St.,15,2009 Robert Morris,77,62,15,139,1
20091201a,a,1201,2009,West,First Round,1,2009 Connecticut,16,2009 Chattanooga,103,47,56,150,1
20091202a,a,1202,2009,West,First Round,8,2009 Texas A&M,9,2009 BYU,79,66,13,145,1
20091203a,a,1203,2009,West,First Round,5,2009 Purdue,12,2009 Northern Iowa,61,56,5,117,1
20091204a,a,1204,2009,West,First Round,4,2009 Washington,13,2009 Mississippi St.,71,58,13,129,1
20091205a,a,1205,2009,West,First Round,6,2009 Marquette,11,2009 Utah St.,58,57,1,115,1
20091206a,a,1206,2009,West,First Round,3,2009 Missouri,14,2009 Cornell,78,59,19,137,1
20091207a,a,1207,2009,West,First Round,7,2009 California,10,2009 Maryland,71,84,-13,155,0
20091208a,a,1208,2009,West,First Round,2,2009 Memphis,15,2009 Cal St. Northridge,81,70,11,151,1
20091301a,a,1301,2009,East,First Round,1,2009 Pittsburgh,16,2009 East Tennessee St.,72,62,10,134,1
20091302a,a,1302,2009,East,First Round,8,2009 Oklahoma St.,9,2009 Tennessee,77,75,2,152,1
20091303a,a,1303,2009,East,First Round,5,2009 Florida St.,12,2009 Wisconsin,59,61,-2,120,0
20091304a,a,1304,2009,East,First Round,4,2009 Xavier,13,2009 Portland St.,77,59,18,136,1
20091305a,a,1305,2009,East,First Round,6,2009 UCLA,11,2009 VCU,65,64,1,129,1
20091306a,a,1306,2009,East,First Round,3,2009 Villanova,14,2009 American,80,67,13,147,1
20091307a,a,1307,2009,East,First Round,7,2009 Texas,10,2009 Minnesota,76,62,14,138,1
20091308a,a,1308,2009,East,First Round,2,2009 Duke,15,2009 Binghamton,86,62,24,148,1
20091401a,a,1401,2009,South,First Round,1,2009 North Carolina,16,2009 Radford,101,58,43,159,1
20091402a,a,1402,2009,South,First Round,8,2009 LSU,9,2009 Butler,75,71,4,146,1
20091403a,a,1403,2009,South,First Round,5,2009 Illinois,12,2009 Western Kentucky,72,76,-4,148,0
20091404a,a,1404,2009,South,First Round,4,2009 Gonzaga,13,2009 Akron,77,64,13,141,1
20091405a,a,1405,2009,South,First Round,6,2009 Arizona St.,11,2009 Temple,66,57,9,123,1
20091406a,a,1406,2009,South,First Round,3,2009 Syracuse,14,2009 Stephen F. Austin,59,44,15,103,1
20091407a,a,1407,2009,South,First Round,7,2009 Clemson,10,2009 Michigan,59,62,-3,121,0
20091408a,a,1408,2009,South,First Round,2,2009 Oklahoma,15,2009 Morgan St.,82,54,28,136,1
20092109a,a,2109,2009,Midwest,Second Round,1,2009 Louisville,9,2009 Siena,79,72,7,151,1
20092110a,a,2110,2009,Midwest,Second Round,12,2009 Arizona,13,2009 Cleveland St.,71,57,14,128,1
20092111a,a,2111,2009,Midwest,Second Round,11,2009 Dayton,3,2009 Kansas,43,60,-17,103,0
20092112a,a,2112,2009,Midwest,Second Round,10,2009 USC,2,2009 Michigan St.,69,74,-5,143,0
20092209a,a,2209,2009,West,Second Round,1,2009 Connecticut,9,2009 Texas A&M,92,66,26,158,1
20092210a,a,2210,2009,West,Second Round,5,2009 Purdue,4,2009 Washington,76,74,2,150,1
20092211a,a,2211,2009,West,Second Round,6,2009 Marquette,3,2009 Missouri,79,83,-4,162,0
20092212a,a,2212,2009,West,Second Round,10,2009 Maryland,2,2009 Memphis,70,89,-19,159,0
20092309a,a,2309,2009,East,Second Round,1,2009 Pittsburgh,8,2009 Oklahoma St.,84,76,8,160,1
20092310a,a,2310,2009,East,Second Round,12,2009 Wisconsin,4,2009 Xavier,49,60,-11,109,0
20092311a,a,2311,2009,East,Second Round,6,2009 UCLA,3,2009 Villanova,69,89,-20,158,0
20092312a,a,2312,2009,East,Second Round,7,2009 Texas,2,2009 Duke,69,74,-5,143,0
20092409a,a,2409,2009,South,Second Round,1,2009 North Carolina,8,2009 LSU,84,70,14,154,1
20092410a,a,2410,2009,South,Second Round,12,2009 Western Kentucky,4,2009 Gonzaga,81,83,-2,164,0
20092411a,a,2411,2009,South,Second Round,6,2009 Arizona St.,3,2009 Syracuse,67,78,-11,145,0
20092412a,a,2412,2009,South,Second Round,10,2009 Michigan,2,2009 Oklahoma,63,73,-10,136,0
20093113a,a,3113,2009,Midwest,Sweet 16,1,2009 Louisville,12,2009 Arizona,103,64,39,167,1
20093113a,a,3113,2009,Midwest,Sweet 16,3,2009 Kansas,2,2009 Michigan St.,62,67,-5,129,0
20093213a,a,3213,2009,West,Sweet 16,1,2009 Connecticut,5,2009 Purdue,72,60,12,132,1
20093214a,a,3214,2009,West,Sweet 16,3,2009 Missouri,2,2009 Memphis,102,91,11,193,1
20093313a,a,3313,2009,East,Sweet 16,1,2009 Pittsburgh,4,2009 Xavier,60,55,5,115,1
20093314a,a,3314,2009,East,Sweet 16,3,2009 Villanova,2,2009 Duke,77,54,23,131,1
20093413a,a,3413,2009,South,Sweet 16,1,2009 North Carolina,4,2009 Gonzaga,98,77,21,175,1
20093414a,a,3414,2009,South,Sweet 16,3,2009 Syracuse,2,2009 Oklahoma,71,84,-13,155,0
20094115a,a,4115,2009,Midwest,Elite Eight,1,2009 Louisville,2,2009 Michigan St.,52,64,-12,116,0
20094215a,a,4215,2009,West,Elite Eight,1,2009 Connecticut,3,2009 Missouri,82,75,7,157,1
20094315a,a,4315,2009,East,Elite Eight,1,2009 Pittsburgh,3,2009 Villanova,76,78,-2,154,0
20094415a,a,4415,2009,South,Elite Eight,1,2009 North Carolina,2,2009 Oklahoma,72,60,12,132,1
20095516a,a,5516,2009,Final Four,Final Four,2,2009 Michigan St.,1,2009 Connecticut,82,73,9,155,1
20095517a,a,5517,2009,Final Four,Final Four,3,2009 Villanova,1,2009 North Carolina,69,83,-14,152,0
20095618a,a,5618,2009,Final Four,Championship,2,2009 Michigan St.,1,2009 North Carolina,72,89,-17,161,0
20101101a,a,1101,2010,Midwest,First Round,1,2010 Kansas,16,2010 Lehigh,90,74,16,164,1
20101102a,a,1102,2010,Midwest,First Round,8,2010 UNLV,9,2010 Northern Iowa,66,69,-3,135,0
20101103a,a,1103,2010,Midwest,First Round,5,2010 Michigan St.,12,2010 New Mexico St.,70,67,3,137,1
20101104a,a,1104,2010,Midwest,First Round,4,2010 Maryland,13,2010 Houston,89,77,12,166,1
20101105a,a,1105,2010,Midwest,First Round,6,2010 Tennessee,11,2010 San Diego St.,62,59,3,121,1
20101106a,a,1106,2010,Midwest,First Round,3,2010 Georgetown,14,2010 Ohio,83,97,-14,180,0
20101107a,a,1107,2010,Midwest,First Round,7,2010 Oklahoma St.,10,2010 Georgia Tech,59,64,-5,123,0
20101108a,a,1108,2010,Midwest,First Round,2,2010 Ohio St.,15,2010 UC Santa Barbara,68,51,17,119,1
20101201a,a,1201,2010,West,First Round,1,2010 Syracuse,16,2010 Vermont,79,56,23,135,1
20101202a,a,1202,2010,West,First Round,8,2010 Gonzaga,9,2010 Florida St.,67,60,7,127,1
20101203a,a,1203,2010,West,First Round,5,2010 Butler,12,2010 UTEP,77,59,18,136,1
20101204a,a,1204,2010,West,First Round,4,2010 Vanderbilt,13,2010 Murray St.,65,66,-1,131,0
20101205a,a,1205,2010,West,First Round,6,2010 Xavier,11,2010 Minnesota,65,54,11,119,1
20101206a,a,1206,2010,West,First Round,3,2010 Pittsburgh,14,2010 Oakland,89,66,23,155,1
20101207a,a,1207,2010,West,First Round,7,2010 BYU,10,2010 Florida,99,92,7,191,1
20101208a,a,1208,2010,West,First Round,2,2010 Kansas St.,15,2010 North Texas,82,62,20,144,1
20101301a,a,1301,2010,East,First Round,1,2010 Kentucky,16,2010 East Tennessee St.,100,71,29,171,1
20101302a,a,1302,2010,East,First Round,8,2010 Texas,9,2010 Wake Forest,80,81,-1,161,0
20101303a,a,1303,2010,East,First Round,5,2010 Temple,12,2010 Cornell,65,78,-13,143,0
20101304a,a,1304,2010,East,First Round,4,2010 Wisconsin,13,2010 Wofford,53,49,4,102,1
20101305a,a,1305,2010,East,First Round,6,2010 Marquette,11,2010 Washington,78,80,-2,158,0
20101306a,a,1306,2010,East,First Round,3,2010 New Mexico,14,2010 Montana,62,57,5,119,1
20101307a,a,1307,2010,East,First Round,7,2010 Clemson,10,2010 Missouri,78,86,-8,164,0
20101308a,a,1308,2010,East,First Round,2,2010 West Virginia,15,2010 Morgan St.,77,50,27,127,1
20101401a,a,1401,2010,South,First Round,1,2010 Duke,16,2010 Arkansas Pine Bluff,73,44,29,117,1
20101402a,a,1402,2010,South,First Round,8,2010 California,9,2010 Louisville,77,62,15,139,1
