year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,win,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2021,West,Elite Eight,6,2021 Texas,1,2021 South Carolina,0,-6.5,-0.0264,-21.7,9,-15.6,5.7,-60.3,53.2,-37.8,28.1,-49,34.3,-17,7,-40.9,34.1,-50.6,54.5,-2.9
2021,Final Four,Final Four,1,2021 Stanford,1,2021 South Carolina,1,2.3,0.0051,-4.5,17.2,-7.1,15.5,-61.5,58.1,-36.1,31.2,-57.4,41.9,-8.4,17.3,-36.1,40.4,-40.4,45.2,-1.5
2022,Midwest,Sweet 16,4,2022 Tennessee,1,2022 Louisville,0,-1.6,-0.0223,-22,10.2,-13.9,10.2,-48.7,60.6,-30.1,35.4,-39.3,56.4,-15.3,13.2,-40.4,35.7,-45.9,36.2,3.9
2022,Midwest,Elite Eight,3,2022 Michigan,1,2022 Louisville,0,-3.1,-0.014,-15.2,7.3,-9.5,4.8,-49.5,56.6,-32.2,36.5,-36.2,55.1,-10.1,7.9,-38.9,31.6,-43,39.5,0.4
2022,Final Four,Final Four,1,2022 South Carolina,1,2022 Louisville,1,6.2,0.0064,-10.1,17.9,-11.6,13.2,-50.8,59.7,-26,37.6,-38.9,58.6,-12.8,16,-39.2,36.4,-44.1,49.6,-1.1
2024,Midwest,Sweet 16,4,2024 Gonzaga,1,2024 Texas,0,-5.5,-0.0124,-2.3,-6.4,-0.1,2.2,-52.6,58.4,-32.6,31.9,-47.8,43.7,-4,1.4,-28.5,35.2,-29.8,48.3,-2.2
2024,Midwest,Elite Eight,3,2024 North Carolina St.,1,2024 Texas,1,-1.8,-0.0083,-12.7,2.8,-8.7,6.6,-54.4,62.5,-41.6,33.9,-42.3,49.6,-10.6,8.7,-36.2,34.3,-38.7,48.3,0.4
2025,Midwest,Sweet 16,4,2025 Maryland,1,2025 South Carolina,0,-9,-0.02,-8.9,-9.4,-8.9,1.9,-54.9,61.2,-31,32.3,-43.1,45.8,-11.6,2.6,-34.7,33.7,-43.4,40.4,2.8
2025,Midwest,Elite Eight,2,2025 Duke,1,2025 South Carolina,0,-6.2,-0.0041,-17.3,5.2,-11.3,6.3,-55.7,53.7,-29.2,32.2,-55,46.4,-13.6,7,-37,36.3,-43.2,46.9,-1.2
2025,Final Four,Championship,2,2025 Connecticut,1,2025 South Carolina,1,-5.6,0.0011,1.7,6.3,-2.4,8.6,-61.4,55.4,-38.4,35.7,-60.7,55.7,-3.7,10.4,-32.6,37.3,-35.8,34.1,-0.6
2025,Final Four,Final Four,1,2025 Texas,1,2025 South Carolina,0,-2.2,-0.0015,-11,4.9,-11.7,7,-58.3,53.5,-27.7,32.3,-46.5,42,-12.6,7.2,-40.7,37.6,-55.3,48.3,-0.6
2021,South,Sweet 16,4,2021 Indiana,1,2021 North Carolina St.,1,-2.6,-0.0049,-13.3,9.1,-8.8,5.7,-66,60.5,-45.8,44.1,-50.1,49.5,-9.1,7.8,-40.2,33.5,-39,41.7,1.1
2022,West,Sweet 16,4,2022 Maryland,1,2022 Stanford,0,-8.4,-0.0194,-9.7,-0.2,-11.6,0.5,-59.5,55.7,-33,31,-46.1,51.3,-17.4,3.4,-31.5,29.8,-42.2,32.6,1.9
2022,West,Elite Eight,2,2022 Texas,1,2022 Stanford,0,-5.1,-0.0077,-15.4,8,-12.8,6.5,-57.1,51,-33.8,32.3,-41.3,36.8,-18.5,7.5,-31.4,36.4,-48.8,37.3,-1.4
2022,Final Four,Final Four,2,2022 Connecticut,1,2022 Stanford,1,-7.2,-0.0013,-11.6,9.2,-5.3,9,-56.9,57.6,-38,35.3,-52.4,55.4,-7.3,11.4,-33.1,36.2,-36.5,31.5,-1.2
2023,West,Sweet 16,4,2023 Tennessee,1,2023 Virginia Tech,0,-4.1,-0.0057,-4.8,1,-9.3,4.2,-58.2,60.5,-35.3,40,-44,43.6,-9,6,-40.1,33.5,-46.6,30.9,4.8
2023,West,Elite Eight,3,2023 Ohio St.,1,2023 Virginia Tech,0,-3.1,-0.0217,-8.2,-1.2,-5.9,0.6,-61.2,53.6,-46.6,37,-46.7,43.9,-5.8,-0.4,-37.2,34.9,-39.2,28.6,7.1
2023,Final Four,Final Four,3,2023 LSU,1,2023 Virginia Tech,1,-1.7,0.0047,-0.6,4.1,-6.8,8,-59.8,56.2,-29.4,42.1,-38.5,44.8,-8,8.4,-35.3,38.2,-50.2,28.1,5.7
2024,East,Sweet 16,5,2024 Colorado,1,2024 Iowa,0,-4.9,-0.0112,-1.4,-9.1,-2.5,-4.6,-61.6,58.8,-42.2,43.2,-51.2,41.6,-3.8,-3.5,-33.1,27.8,-31.1,22.5,-4.8
2024,East,Elite Eight,3,2024 LSU,1,2024 Iowa,0,-3.6,-0.0016,3.6,-7.9,-4.1,-0.7,-60.9,56.3,-29.7,39.4,-37.3,44.6,-4,-0.7,-36.8,32.2,-41.9,20.9,-0.3
